,train,source,dest,dist
1417,ITR TATA PASSGN,ITWARI         ,TATANAGAR JN   ,878
1418,PPTA YPR EXP   ,PATLIPUTRA     ,YESVANTPUR JN  ,2711
1419,GYAN GANGA EXP ,PUNE JN        ,MANDUADIH      ,1536
1420,PUNE PATNA EXP ,PUNE JN        ,PATNA JN       ,1781
1421,YPR SBP EXP    ,YESVANTPUR JN  ,SAMBALPUR      ,1584
1422,SVDK LKO SPL   ,SHMATA VD KATRA,LUCKNOW NR     ,1056
1423,JYG RNC EXPRESS,JAYNAGAR       ,RANCHI         ,612
1424,TPTY  SBC  EXP ,TIRUPATI       ,BANGALORE CY JN,337
1425,SGNR INTERCITY ,AMBALA CANT JN ,SHRI GANGANAGAR,328
1426,DRZ R EXPRESS  ,DALLI RAJHARA  ,RAIPUR JN      ,126
1427,PNBE SC EXP    ,PATNA JN       ,SECUNDERABAD JN,1840
1428,REWA NAGPUR EXP,REWA           ,NAGPUR         ,781
1429,VSKP TATA EXP  ,VISAKHAPATNAM  ,TATANAGAR JN   ,864
1430,BIDR LTT EXP   ,BIDAR          ,LOKMANYATILAK T,661
1431,TPTY GTL PASS  ,TIRUPATI       ,GUNTAKAL JN    ,371
1432,WAINGANGA EXP  ,KORBA          ,YESVANTPUR JN  ,1605
1433,YPR JP PREMIUM ,YESVANTPUR JN  ,JAIPUR         ,2407
1434,PUNE EXPRESS   ,H SAHIB NANDED ,PUNE JN        ,662
1435,BSB LTT SUP EXP,VARANASI JN    ,LOKMANYATILAK T,1472
1436,BSP SVDK SPL   ,BILASPUR JN    ,SHMATA VD KATRA,1792
1437,UBL VSG LINK EX,HUBLI JN       ,VASCO DA GAMA  ,236
1438,SUVIDHA SPL    ,ANAND VIHAR TRM,GORAKHPUR JN   ,750
1439,HWH DLI KLK MAI,HOWRAH JN      ,KALKA          ,1743
1440,POTHIGAI  EXP  ,CHENNAI EGMORE ,SENGOTTAI      ,670
1441,BSP ERS S F EXP,BILASPUR JN    ,ERNAKULAM JN   ,2154
1442,RNY DBRG EXPRES,RANGIYA JN     ,DIBRUGARH      ,554
1443,IND PUNE EXPRES,INDORE JN BG   ,PUNE JN        ,972
1444,NAINITAL EXP   ,AISHBAGH       ,IZZATNAGAR     ,310
1445,GKP KOLKATA EXP,GORAKHPUR JN   ,KOLKATA        ,875
1446,GOKUL EXP      ,GONDA JN       ,BAREILLY       ,392
1447,SEWAGRAM  EXP  ,NAGPUR         ,MUMBAI CST     ,837
1448,PUNE NAGPUR EXP,PUNE JN        ,NAGPUR         ,889
1449,AMRITSAR SHTBDI,AMRITSAR JN    ,NEW DELHI      ,448
1450,AP SMPRK KRANTI,H NIZAMUDDIN   ,TIRUPATI       ,2303
1451,PARASURAM EXP  ,NAGERCOIL JN   ,MANGALORE CNTL ,705
1452,CSN CSTM T F SP,CHALISGAON JN  ,MUMBAI CST     ,328
1453,HW BDTS SF EXP ,HARIDWAR JN    ,BANDRA TERMINUS,1616
1454,UMB DLI  EXP   ,AMBALA CANT JN ,DELHI          ,262
1455,DDN JANSHTBDI  ,NEW DELHI      ,DEHRADUN       ,305
1456,AII WKLY EXP   ,KOLKATA        ,AJMER JN       ,1994
1457,JP BPL EXP     ,JAIPUR         ,BHOPAL  JN     ,790
1458,AG KRANTI RJDHN,H NIZAMUDDIN   ,MUMBAI CENTRAL ,1377
1459,ERS NZM DURONTO,ERNAKULAM JN   ,H NIZAMUDDIN   ,2943
1460,NJP HWH SHATABD,NEW JALPAIGURI ,HOWRAH JN      ,561
1461,SHIPRA EXP     ,HOWRAH JN      ,INDORE JN BG   ,1736
1462,KAIFIYAT EXP   ,DELHI          ,AZAMGARH       ,805
1463,KLK SML PASS   ,KALKA          ,SIMLA          ,96
1464,BBS NDLS SUP EX,BHUBANESWAR    ,NEW DELHI      ,1893
1465,HSR JP PASS    ,HISAR          ,JAIPUR         ,368
1466,BBS BWIP LINK E,BHUBANESWAR    ,JUNAGARH ROAD  ,653
1467,AMI TPTY SUP EX,AMRAVATI       ,TIRUPATI       ,1307
1468,PURVANCHAL EXP ,GORAKHPUR JN   ,KOLKATA        ,859
1469,BKN DDR SF EXP ,BIKANER JN     ,DADAR          ,1245
1470,JP BCT SUPFAST ,JAIPUR         ,MUMBAI CENTRAL ,1159
1471,HWH CKP PAS    ,HOWRAH JN      ,CHAKRADHARPUR  ,441
1472,UZHAVAN EXPRESS,THANJAVUR      ,CHENNAI EGMORE ,351
1473,LUCKNOW EXP    ,CHENNAI CENTRAL,LUCKNOW NR     ,2089
1474,KOP SOLAPUR EXP,C SHAHUMHARAJ T,SOLAPUR JN     ,315
1475,SIMHAPURI EXP  ,SECUNDERABAD JN,GUDUR JN       ,644
1476,AZIMABAD EXPRES,PATNA JN       ,AHMEDABAD JN   ,1772
1477,CPR LJN EXP    ,CHHAPRA        ,LUCKNOW NE     ,537
1478,PURI TPTY EXP  ,PURI           ,TIRUPATI       ,1232
1479,TN MS LINK EXP ,TUTICORIN      ,CHENNAI EGMORE ,656
1480,BME HW LINK EXP,BARMER         ,HARIDWAR JN    ,1169
1481,SNSI MYS EXPRES,SAINAGAR SHIRDI,MYSORE JN      ,1304
1482,PUNE GARIBRATH ,NAGPUR         ,PUNE JN        ,890
1483,BHUJ PUNE EXP  ,BHUJ           ,PUNE JN        ,993
1484,BGKT BDTS EXP  ,BHAGAT KI KOTHI,BANDRA TERMINUS,931
1485,YESHVANTPUR EXP,INDORE JN BG   ,YESVANTPUR JN  ,1907
1486,AHIMSA EXPRESS ,PUNE JN        ,AHMEDABAD JN   ,635
1487,CHARMINAR EXP  ,HYDERABAD DECAN,CHENNAI CENTRAL,790
1488,BIX KOTA PASS  ,BHIND          ,KOTA JN        ,500
1489,MTJ CPR EXPRESS,MATHURA JN     ,CHHAPRA        ,884
1490,NDLS RNC G RATH,NEW DELHI      ,RANCHI         ,1344
1491,UDN VARANASI EX,UDHNA JN       ,VARANASI JN    ,1375
1492,BNC BBS SUVIDHA,BANGALORE CANT ,BHUBANESWAR    ,1511
1493,SATYAGRAH EXP  ,DELHI          ,RAXAUL JN      ,964
1494,GARIB NAWAZ EXP,BANGALORE CY JN,AJMER JN       ,2223
1495,DURGIANA EXP   ,KOLKATA        ,AMRITSAR JN    ,1812
1496,AHMEDABAD PASS ,AHMEDABAD JN   ,MUMBAI CENTRAL ,491
1497,BDTS NZM YUVA E,BANDRA TERMINUS,H NIZAMUDDIN   ,1366
1498,KRJ ALD LINK EX,BULANDSHAHR    ,ALLAHABAD JN   ,672
1499,MAURYA EXPRESS ,GORAKHPUR JN   ,HATIA          ,864
1500,BDTS AII UDZ EX,BANDRA TERMINUS,UDAIPUR CITY   ,945
1501,NSL NS EXP     ,NAGARSOL       ,NARASAPUR      ,1048
1502,TAPTI GANGA EXP,CHHAPRA        ,SURAT          ,1731
1503,ASN GKP EXPRESS,ASANSOL JN     ,GORAKHPUR JN   ,644
1504,GOKUL EXPRESS  ,BAREILLY       ,GONDA JN       ,392
1505,HALDIA EXPRESS ,CHENNAI CENTRAL,HALDIA         ,1661
1506,DBG HWH EXPRESS,DARBHANGA JN   ,HOWRAH JN      ,536
1507,ALLEPPEY EXP   ,CHENNAI CENTRAL,ALLEPPEY       ,759
1508,SDAH LGL PGR   ,SEALDAH        ,LALGOLA        ,227
1509,BSB DDN EXP    ,VARANASI JN    ,DEHRADUN       ,846
1510,JAN SHATABDI   ,TRIVANDRUM CNTL,KANNUR         ,502
1511,CSTM ASANSOL EX,MUMBAI CST     ,ASANSOL JN     ,2042
1512,MUZAFFARPUR EXP,YESVANTPUR JN  ,MUZAFFARPUR JN ,2733
1513,PUNE BGKT EXP  ,PUNE JN        ,BHAGAT KI KOTHI,1091
1514,DBRG NDLS RAJEX,DIBRUGARH      ,NEW DELHI      ,2453
1515,KOTA PNBE EXP  ,KOTA JN        ,PATNA JN       ,1222
1516,HWH JU  EXPRESS,HOWRAH JN      ,JODHPUR JN     ,1813
1517,NAGERCOIL EXP  ,BANGALORE CY JN,NAGERCOIL JN   ,673
1518,PUNE BBS EXPRES,PUNE JN        ,BHUBANESWAR    ,1703
1519,RJPB LTT EXP   ,RAJENDRANAGAR T,LOKMANYATILAK T,1697
1520,RJT SC EXPRESS ,RAJKOT JN      ,SECUNDERABAD JN,1478
1521,MTM VSKP PASSR ,MACHILIPATNAM  ,VISAKHAPATNAM  ,372
1522,PINAKINI EXP   ,CHENNAI CENTRAL,VIJAYAWADA JN  ,431
1523,TEN  DR  EXPRES,TIRUNELVELI    ,DADAR          ,2060
1524,GANADEVTA EXP  ,AZIMGANJ JN    ,HOWRAH JN      ,278
1525,SHRAM SHKTI EXP,NEW DELHI      ,KANPUR CENTRAL ,440
1526,UHL NED SF EXP ,UNA HIMACHAL   ,H SAHIB NANDED ,1886
1527,MARUDHAR EXPRES,JODHPUR JN     ,VARANASI JN    ,1181
1528,SC PNBE EXPRESS,SECUNDERABAD JN,PATNA JN       ,1840
1529,KCVL YPR AC EXP,KOCHUVELI      ,YESVANTPUR JN  ,860
1530,PPTA CDG EXP   ,PATLIPUTRA     ,CHANDIGARH     ,1175
1531,BB BJP FAST PAS,MUMBAI CST     ,BIJAPUR        ,564
1532,CHAMUNDI EXPRES,BANGALORE CY JN,MYSORE JN      ,139
1533,PBH BPL EXPRESS,PARTAPGARH JN  ,BHOPAL  JN     ,758
1534,SHC GARIB RATH ,AMRITSAR JN    ,SAHARSA JN     ,1723
1535,GOUTAMI EXP    ,SECUNDERABAD JN,KAKINADA PORT  ,565
1536,PURI OKHA EXP  ,PURI           ,OKHA           ,2778
1537,MJ MVJ PASS    ,MARWAR JN      ,MAVLI JN       ,152
1538,VISAKHA EXP    ,SECUNDERABAD JN,BHUBANESWAR    ,1134
1539,GAYA KYQ WKLY E,GAYA JN        ,KAMAKHYA       ,1091
1540,KCG MS EXP     ,KACHEGUDA      ,CHENNAI EGMORE ,773
1541,LTT FD SUP EXP ,LOKMANYATILAK T,FAIZABAD JN    ,1600
1542,LTT KARAIKAL EX,LOKMANYATILAK T,KARAIKAL       ,1634
1543,UTTAR BANGA EXP,NEW COOCH BEHAR,SEALDAH        ,693
1544,GUV CHENNAI EXP,GURUVAYUR      ,CHENNAI EGMORE ,1100
1545,NIZAMUDDIN EXP ,TRIVANDRUM CNTL,H NIZAMUDDIN   ,3149
1546,DURG JDB EXP   ,DURG           ,JAGDALPUR      ,658
1547,JAT  JBP EXPRES,JAMMU TAWI     ,JABALPUR       ,1505
1548,OKHA EXPRESS   ,ERNAKULAM JN   ,OKHA           ,2557
1549,VSKP  SNSI   EX,VISAKHAPATNAM  ,SAINAGAR SHIRDI,1403
1550,MS MANGALORE EX,CHENNAI EGMORE ,MANGALORE CNTL ,983
1551,KYQ LTT AC EXP ,KAMAKHYA       ,LOKMANYATILAK T,2587
1552,MUMBAI DURONTO ,INDORE JN BG   ,MUMBAI CENTRAL ,829
1553,SEEMANCHAL EXP ,ANAND VIHAR TRM,JOGBANI        ,1383
1554,GUJARAT MAIL   ,AHMEDABAD JN   ,MUMBAI CENTRAL ,491
1555,DDN GKP EXP    ,DEHRADUN       ,GORAKHPUR JN   ,815
1556,NHLN NDLS AC EX,NAHARLAGUN     ,NEW DELHI      ,2120
1557,GAYA MS EXPRESS,GAYA JN        ,CHENNAI EGMORE ,2344
1558,NARASAPUR EXP  ,HYDERABAD DECAN,NARASAPUR      ,461
1559,KAKATIYA  F  PA,SECUNDERABAD JN,MANUGURU       ,331
1560,KGM GARIB RATH ,KANPUR CENTRAL ,KATHGODAM      ,462
1561,NARMADA EXP PSG,BILASPUR JN    ,INDORE JN BG   ,1010
1562,BJU GWL MAIL   ,BARAUNI JN     ,GWALIOR        ,1057
1563,KOAA DBRG EXP  ,KOLKATA        ,DIBRUGARH      ,1583
1564,DOON EXPRESS   ,DEHRADUN       ,HOWRAH JN      ,1557
1565,SUVDHA SPL     ,GORAKHPUR JN   ,ANAND VIHAR TRM,750
1566,JDB DURG EXP   ,JAGDALPUR      ,DURG           ,658
1567,ADI ALD EXPRESS,AHMEDABAD JN   ,ALLAHABAD JN   ,1483
1568,RAJDHANI EXP   ,BANGALORE CY JN,H NIZAMUDDIN   ,2294
1569,NLDM KOAA EXP  ,NANGAL DAM     ,KOLKATA        ,1803
1570,DHI CSN PASS   ,DHULE          ,MUMBAI CST     ,384
1571,BSB INTERCITY E,SINGRAULI      ,VARANASI JN    ,211
1572,MITHILANCHAL EX,SITAMARHI      ,KOLKATA        ,619
1573,RJSTHN S KRNTI ,BIKANER JN     ,DELHI S ROHILLA,685
1574,MFP ST EXPRESS ,MUZAFFARPUR JN ,SURAT          ,2138
1575,DURG JAT SF EXP,DURG           ,JAMMU TAWI     ,1873
1576,DBG PUNE EXP   ,DARBHANGA JN   ,PUNE JN        ,1947
1577,BGKT SBCEXP    ,BHAGAT KI KOTHI,BANGALORE CY JN,2112
1578,JYG ANVT G RATH,JAYNAGAR       ,ANAND VIHAR TRM,1252
1579,MUMBAI EXP     ,HYDERABAD DECAN,MUMBAI CST     ,790
1580,SEVEN HILLS EXP,SECUNDERABAD JN,TIRUPATI       ,712
1581,RED PANDA      ,KURSEONG       ,DARJEELING     ,31
1582,RAJENDRA NGR EX,LOKMANYATILAK T,RAJENDRANAGAR T,1697
1583,GOLCONDA EXP   ,SECUNDERABAD JN,GUNTUR JN      ,383
1584,HIMALAYAN QUEEN,KALKA          ,DELHI S ROHILLA,305
1585,BUI SDAH EXP   ,BALLIA         ,SEALDAH        ,679
1586,PURULIA EXPRESS,VILLUPURAM JN  ,PURULIA JN     ,1997
1587,BGP SURAT EXP  ,BHAGALPUR      ,SURAT          ,1831
1588,RANTHAMBORE EXP,INDORE JN BG   ,JODHPUR JN     ,911
1589,PADMAVAT EXPRES,DELHI          ,PARTAPGARH JN  ,660
1590,BSB ADI EXP    ,VARANASI JN    ,AHMEDABAD JN   ,1702
1591,KANYAKUMARI EXP,BANGALORE CY JN,KANYAKUMARI    ,944
1592,LTT VSKP EXP   ,LOKMANYATILAK T,VISAKHAPATNAM  ,1501
1593,LTT COA EXPRESS,LOKMANYATILAK T,KAKINADA PORT  ,1300
1594,OKHA PASSENGER ,AHMEDABAD JN   ,OKHA           ,499
1595,DIVA SWV PASS  ,DIVA           ,SAWANTWADI ROAD,613
1596,KAVERI  EXPRESS,CHENNAI CENTRAL,MYSORE JN      ,500
1597,BAREILLY EXP   ,DELHI          ,BAREILLY       ,274
1598,PURUSHOTTAM EXP,PURI           ,NEW DELHI      ,1862
1599,MYS DHARWAD EXP,MYSORE JN      ,DHARWAR        ,491
1600,JAMMU TAWI EXP ,KOLKATA        ,JAMMU TAWI     ,1981
1601,VRL BCT PASS EX,VERAVAL        ,MUMBAI CENTRAL ,923
1602,HW BME LINK EXP,HARIDWAR JN    ,BARMER         ,1169
1603,C G SMPRK KRNTI,DURG           ,H NIZAMUDDIN   ,1284
1604,MS GAYA EXPRESS,CHENNAI EGMORE ,GAYA JN        ,2344
1605,ANVT DOUBLE DKR,LUCKNOW NE     ,ANAND VIHAR TRM,480
1606,AII HYB EXP    ,AJMER JN       ,HYDERABAD DECAN,1868
1607,CHAMUNDI EXP   ,MYSORE JN      ,BANGALORE CY JN,139
1608,RAMNAGAR EXPRES,BANDRA TERMINUS,RAMNAGAR       ,2138
1609,LKO NLDM SF SPL,LUCKNOW NR     ,NANGAL DAM     ,794
1610,MAQ KCG EXPRESS,MANGALORE CNTL ,KACHEGUDA      ,1532
1611,LTT KCVL EXPRES,LOKMANYATILAK T,KOCHUVELI      ,1813
1612,JBP INTERCITY  ,INDORE JN BG   ,JABALPUR       ,759
1613,TULSI EXPRESS  ,ALLAHABAD JN   ,LOKMANYATILAK T,1510
1614,MLDT ANVT EXP  ,MALDA TOWN     ,ANAND VIHAR TRM,1408
1615,DIBRUGARH EXP  ,CHENNAI EGMORE ,DIBRUGARH      ,3346
1616,YERCAUD EXP    ,ERODE JN       ,CHENNAI CENTRAL,396
1617,SOMNATH EXPRESS,VERAVAL        ,AHMEDABAD JN   ,432
1618,SHC DNR LINK EX,SAHARSA JN     ,DANAPUR        ,229
1619,ANVT GARIB RATH,GAYA JN        ,ANAND VIHAR TRM,977
1620,CHITRAKUT EXP  ,JABALPUR       ,LUCKNOW NE     ,584
1621,NDLS BJU AC  SP,NEW DELHI      ,BARAUNI JN     ,1156
1622,CHERAN EXPRESS ,COIMBATORE JN  ,CHENNAI CENTRAL,497
1623,GKP PUNE EXPRES,GORAKHPUR JN   ,PUNE JN        ,1771
1624,JODHPUR EXPRESS,GANDHIDHAM BG  ,JODHPUR JN     ,559
1625,SURAT FAST PASS,AMRAVATI       ,SURAT          ,563
1626,LTT AJNI EXPRES,LOKMANYATILAK T,AJNI           ,1021
1627,TIRUPATI PSGR  ,KAKINADA PORT  ,TIRUPATI       ,600
1628,DLI ATTARI EXP ,DELHI          ,ATARI          ,472
1629,BBS RAJDHANI EX,BHUBANESWAR    ,NEW DELHI      ,1800
1630,HUSAINSAGAR EXP,MUMBAI CST     ,HYDERABAD DECAN,790
1631,MALWA EXPRESS  ,JAMMU TAWI     ,INDORE JN BG   ,1540
1632,JBP INTERCITY E,SINGRAULI      ,JABALPUR       ,352
1633,JBP BTC PASS   ,JABALPUR       ,BALAGHAT JN    ,187
1634,MHRST SMPRK K E,H NIZAMUDDIN   ,BANDRA TERMINUS,1366
1635,LJN AGC INTRCIT,LUCKNOW NE     ,AGRA CANTT     ,332
1636,BBN JANSHATABDI,BARABIL        ,HOWRAH JN      ,398
1637,LJN JP EXP     ,LUCKNOW NE     ,JAIPUR         ,676
1638,BSP PUNE SUP EX,BILASPUR JN    ,PUNE JN        ,1301
1639,NED PUNE EXP   ,H SAHIB NANDED ,PUNE JN        ,557
1640,NDLS BGP EXPRES,NEW DELHI      ,BHAGALPUR      ,1219
1641,SML KLK PASS   ,SIMLA          ,KALKA          ,96
1642,BNC SUVIDHA SPL,BHUBANESWAR    ,BANGALORE CANT ,1511
1643,DURG JP EXP    ,DURG           ,JAIPUR         ,1263
1644,HIMACHAL EXPRES,AMB  ANDAURA   ,DELHI          ,399
1645,DEHRADUN EXP   ,DEHRADUN       ,BANDRA TERMINUS,1682
1646,AJANTA EXPRESS ,SECUNDERABAD JN,MANMAD JN      ,621
1647,VIVEK EXP      ,TUTICORIN      ,OKHA           ,2735
1648,GUWAHATI EXPRES,LOKMANYATILAK T,GUWAHATI       ,2734
1649,CSTM FAST PASS ,SAINAGAR SHIRDI,MUMBAI CST     ,455
1650,NDLS RNC RJDHNI,NEW DELHI      ,RANCHI         ,1341
1651,DADAR BHUJ EXP ,DADAR          ,BHUJ           ,977
1652,DBB SHTT RR EXP,DHUBRI         ,SILGHAT TOWN   ,485
1653,LTT HUBLI EXP  ,LOKMANYATILAK T,HUBLI JN       ,793
1654,KANCHANKANYA EX,ALIPUR DUAR JN ,SEALDAH        ,735
1655,AVANTIKA EXP   ,INDORE JN BG   ,MUMBAI CENTRAL ,829
1656,TATA ASN EXP   ,TATANAGAR JN   ,ASANSOL JN     ,167
1657,CSN DHI T F SPL,CHALISGAON JN  ,DHULE          ,57
1658,BBS DURONTO EXP,NEW DELHI      ,BHUBANESWAR    ,1727
1659,SVDK ADI EXP   ,SHMATA VD KATRA,AHMEDABAD JN   ,1739
1660,LTT BIDR EXPRES,LOKMANYATILAK T,BIDAR          ,661
1661,KANCHANJUNGA EX,GUWAHATI       ,SEALDAH        ,975
1662,AMARKANTAK EXP ,BHOPAL  JN     ,DURG           ,894
1663,VRL TVC EXPRESS,VERAVAL        ,TRIVANDRUM CNTL,2709
1664,VIKRAMSHILA EXP,ANAND VIHAR TRM,BHAGALPUR      ,1205
1665,PURBANCHAL EXP ,KOLKATA        ,GORAKHPUR JN   ,859
1666,GAYA GARIB RATH,ANAND VIHAR TRM,GAYA JN        ,977
1667,DEVAGIRI EXP   ,SECUNDERABAD JN,MUMBAI CST     ,881
1668,BKN KOAA SUP EX,BIKANER JN     ,KOLKATA        ,1885
1669,HEMKUNT EXP    ,JAMMU TAWI     ,RISHIKESH      ,558
1670,FD LTT SF EXP  ,FAIZABAD JN    ,LOKMANYATILAK T,1600
1671,BHUBANESHWAR EX,YESVANTPUR JN  ,BHUBANESWAR    ,1524
1672,PATLIPUTRA EXP ,HATIA          ,PATNA JN       ,539
1673,UDYOG NAGRI EXP,PARTAPGARH JN  ,LOKMANYATILAK T,1585
1674,TRIVANDRUM EXP ,MANGALORE CNTL ,TRIVANDRUM CNTL,634
1675,TIRUKKURAL EXP ,KANYAKUMARI    ,H NIZAMUDDIN   ,2921
1676,SDAH AJMER EXP ,SEALDAH        ,AJMER JN       ,1642
1677,LKO YPR SUP EXP,LUCKNOW NR     ,YESVANTPUR JN  ,2532
1678,RNC NJP EXP    ,RANCHI         ,NEW JALPAIGURI ,838
1679,SAKET EXPRESS  ,FAIZABAD JN    ,LOKMANYATILAK T,1505
1680,KOLKATA EXP    ,JAMMU TAWI     ,KOLKATA        ,1981
1681,AMARNATH EXP   ,JAMMU TAWI     ,BHAGALPUR      ,1790
1682,HW BKN SPL     ,HARIDWAR JN    ,BIKANER JN     ,692
1683,DEE BDTS EXP   ,DELHI S ROHILLA,BANDRA TERMINUS,1344
1684,RN DADAR PASS  ,RATNAGIRI      ,DADAR          ,422
1685,CBE TN LINK EXP,COIMBATORE JN  ,TUTICORIN      ,465
1686,HTE LTT SUPER  ,HATIA          ,LOKMANYATILAK T,1706
1687,VARUNA EXPRESS ,VARANASI JN    ,KANPUR CENTRAL ,357
1688,GODAVARI EXP   ,HYDERABAD DECAN,VISAKHAPATNAM  ,711
1689,SURAT BDTS EXP ,SURAT          ,BANDRA TERMINUS,252
1690,RUPASIBANGLA EX,PURULIA JN     ,HOWRAH JN      ,333
1691,SHAKTIPUNJ EXP ,HOWRAH JN      ,JABALPUR       ,1152
1692,HUTATMA EXPRESS,SOLAPUR JN     ,PUNE JN        ,264
1693,RANIKHET EXP   ,KATHGODAM      ,JAISALMER      ,1256
1694,LKO NDLS AC SF ,LUCKNOW NR     ,NEW DELHI      ,493
1695,PURI JYG EXP   ,PURI           ,JAYNAGAR       ,1004
1696,KOLKATA  RJDHNI,NEW DELHI      ,HOWRAH JN      ,1529
1697,LJN INTERCITY  ,GORAKHPUR JN   ,LUCKNOW NE     ,279
1698,ERNAKULAM SF EX,BANGALORE CY JN,ERNAKULAM JN   ,625
1699,TPTY VSKP SF SP,TIRUPATI       ,VISAKHAPATNAM  ,736
1700,RJPB HATIA EXP ,RAJENDRANAGAR T,HATIA          ,421
1701,PTK DLI EXP    ,PATHANKOT      ,DELHI          ,554
1702,HWH DGHA DURONT,HOWRAH JN      ,DIGHA FLAG STN ,186
1703,LKO BDL INTRCIT,LUCKNOW NR     ,VINDHYACHAL    ,284
1704,KYQ BNC SUVIDHA,KAMAKHYA       ,BANGALORE CANT ,3019
1705,PADMAVATI EXP  ,SECUNDERABAD JN,TIRUPATI       ,737
1706,NDT OKHA EXP   ,NATHDWARA      ,OKHA           ,1136
1707,LKU HWH EXP    ,LAL KUAN       ,HOWRAH JN      ,1344
1708,AII BDTS SF EXP,AJMER JN       ,BANDRA TERMINUS,1017
1709,BSP INTERCITY  ,NAGPUR         ,BILASPUR JN    ,411
1710,UHP KOTA EXP   ,UDHAMPUR       ,KOTA JN        ,1094
1711,GHY NHLN I C EX,GUWAHATI       ,NAHARLAGUN     ,333
1712,MADURAI PASSR  ,PUNALUR        ,MADURAI JN     ,410
1713,AF ADI SF EXP  ,AGRA FORT      ,AHMEDABAD JN   ,867
1714,DDN MDU SF EXP ,DEHRADUN       ,MADURAI JN     ,3087
1715,AII BGP EXP    ,AJMER JN       ,BHAGALPUR      ,1750
1716,PALAMOU EXP    ,PATNA JN       ,BARKA KANA     ,494
1717,CHRM CHD PGR   ,CHIRMIRI       ,CHANDIA ROAD   ,214
1718,SC BKN EXP     ,SECUNDERABAD JN,BIKANER JN     ,2113
1719,BPQ WR PASS    ,BALHARSHAH     ,MUMBAI CST     ,891
1720,JALIANWALA B EX,AMRITSAR JN    ,TATANAGAR JN   ,1749
1721,MRJ TKL FARE PA,PANDHARPUR     ,MIRAJ JN       ,137
1722,SHM PURI SF EXP,SHALIMAR       ,PURI           ,500
1723,ASR CDG SUP    ,AMRITSAR JN    ,CHANDIGARH     ,248
1724,MLDT NDLS EXPRE,MALDA TOWN     ,NEW DELHI      ,1421
1725,DDR BIKANER EXP,DADAR          ,BIKANER JN     ,1245
1726,PUNE DURONTO EX,H NIZAMUDDIN   ,PUNE JN        ,1520
1727,SHIRDI EXPRESS ,CHENNAI CENTRAL,SAINAGAR SHIRDI,1392
1728,DAUND NANDED PA,DAUND JN       ,H SAHIB NANDED ,586
1729,FALAKNUMA EXP  ,SECUNDERABAD JN,HOWRAH JN      ,1545
1730,NDLS ROK EXP   ,NEW DELHI      ,ROHTAK JN      ,72
1731,BGKTPUNE EXPRES,BHAGAT KI KOTHI,PUNE JN        ,1091
1732,GARIB RATH EXP ,AMRITSAR JN    ,LAL KUAN       ,698
1733,JBP YPR SUP EXP,JABALPUR       ,YESVANTPUR JN  ,1736
1734,SWARNAJAYANTI E,VISAKHAPATNAM  ,H NIZAMUDDIN   ,2095
1735,SBC GARIB NAWAJ,AJMER JN       ,BANGALORE CY JN,2241
1736,SGNR RKSH EXP  ,SHRI GANGANAGAR,RISHIKESH      ,508
1737,SHALIMAR EXP   ,TRIVANDRUM CNTL,SHALIMAR       ,2567
1738,SHRAMIK EXPRESS,VALSAD         ,MUZAFFARPUR JN ,1781
1739,B NATH DHAM EXP,PATNA JN       ,PURI           ,931
1740,EAST COAST EXP ,HYDERABAD DECAN,HOWRAH JN      ,1592
1741,ZIYARAT EXPRESS,AJMER JN       ,RAJENDRANAGAR T,1305
1742,TATA VSKP EXP  ,TATANAGAR JN   ,VISAKHAPATNAM  ,864
1743,SGNR KOTA SF   ,SHRI GANGANAGAR,KOTA JN        ,919
1744,DEE JAT DURONTO,DELHI S ROHILLA,JAMMU TAWI     ,578
1745,ST BHAGALPUR EX,SURAT          ,BHAGALPUR      ,1831
1746,SLN DLI EXP    ,SULTANPUR      ,DELHI          ,645
1747,UDZ BDTS SUP   ,UDAIPUR CITY   ,BANDRA TERMINUS,945
1748,KOAA GKP EXP   ,KOLKATA        ,GORAKHPUR JN   ,875
1749,KURJ BSB LINK E,KHAJURAHO      ,VARANASI JN    ,453
1750,CNB NDLS SHT   ,KANPUR CENTRAL ,NEW DELHI      ,437
1751,PNBE  PAU EXP  ,PATNA JN       ,PURNA JN       ,1816
1752,KAVI GURU EXP  ,JAIPUR         ,KAMAKHYA       ,2212
1753,SNSI KLK SUP EX,SAINAGAR SHIRDI,KALKA          ,1669
1754,KOAA HDB SUPF E,KOLKATA        ,HALDIBARI      ,620
1755,AMH KOAA EXP   ,AZAMGARH       ,KOLKATA        ,787
1756,BDTS SURAT EXP ,BANDRA TERMINUS,SURAT          ,252
1757,SVDK CPR SPL   ,SHMATA VD KATRA,CHHAPRA        ,1522
1758,ANVT KGM SHT   ,ANAND VIHAR TRM,KATHGODAM      ,271
1759,BGP AII EXPRESS,BHAGALPUR      ,AJMER JN       ,1750
1760,MAS ERS EXP    ,CHENNAI CENTRAL,ERNAKULAM JN   ,702
1761,SBC NANDED EXP ,BANGALORE CY JN,H SAHIB NANDED ,1042
1762,MAQ INTERCITY E,MADGAON        ,MANGALORE CNTL ,437
1763,GIMB SBC EXPRES,GANDHIDHAM BG  ,BANGALORE CY JN,1962
1764,BKN CBE AC S F ,BIKANER JN     ,COIMBATORE JN  ,2781
1765,YPR HATIA EXP  ,YESVANTPUR JN  ,HATIA          ,1901
1766,NZB PVR PASS   ,NIZAMABAD      ,PANDHARPUR     ,535
